"ID","NATC","NATC_ID","Type"
906,"Never",1,"Clump"
907,"Never",1,"Clump"
908,"Never",1,"Clump"
846,"Never",1,"Clump"
909,"Never",1,"Clump"
910,"Continuous",4,"Clump"
911,"Abandoned",2,"No cluster"
912,"Continuous",4,"Clump"
913,"Abandoned",2,"No cluster"
914,"Never",1,"Clump"
915,"Never",1,"Clump"
916,"Never",1,"Clump"
917,"Continuous",4,"Clump"
918,"Never",1,"Clump"
919,"Never",1,"Clump"
919,"Never",1,"Clump"
919,"Never",1,"Clump"
920,"Continuous",4,"Clump"
921,"Continuous",4,"Clump"
922,"Never",1,"Clump"
923,"Transformed",3,"No cluster"
924,"Never",1,"Clump"
925,"Never",1,"Clump"
926,"Continuous",4,"Clump"
927,"Never",1,"Clump"
929,"Continuous",4,"Clump"
930,"Continuous",4,"Clump"
931,"Transformed",3,"No cluster"
932,"Continuous",4,"Clump"
933,"Never",1,"No cluster"
934,"Never",1,"Clump"
935,"Never",1,"Clump"
936,"Continuous",4,"Clump"
937,"Abandoned",2,"No cluster"
938,"Abandoned",2,"No cluster"
939,"Transformed",3,"No cluster"
940,"Continuous",4,"Clump"
941,"Never",1,"Clump"
942,"Never",1,"Clump"
943,"Transformed",3,"No cluster"
944,"Transformed",3,"No cluster"
945,"Continuous",4,"Clump"
946,"Transformed",3,"No cluster"
947,"Transformed",3,"No cluster"
948,"Transformed",3,"No cluster"
949,"Continuous",4,"Clump"
950,"Continuous",4,"Clump"
951,"Never",1,"Clump"
952,"Continuous",4,"Cluster"
953,"Continuous",4,"Cluster"
954,"Never",1,"No cluster"
955,"Continuous",4,"Clump"
956,"Continuous",4,"Clump"
957,"Transformed",3,"No cluster"
958,"Continuous",4,"Clump"
959,"Continuous",4,"Clump"
960,"Transformed",3,"No cluster"
961,"Continuous",4,"Clump"
962,"Continuous",4,"Clump"
963,"Transformed",3,"No cluster"
964,"Never",1,"No cluster"
965,"Transformed",3,"No cluster"
966,"Never",1,"Clump"
